participant,condition,char,RT
JXI_04182025,D_fast,Z,349
JXI_04182025,ND_fast,Z,387
KCA_04072025,D_fast,Z,372
KCA_04072025,ND_fast,Z,614
KHT_04072025,D_fast,Z,495
KHT_04072025,ND_fast,Z,859
KSN_04042025,D_fast,Z,364
KSN_04042025,ND_fast,Z,1212
MAO_04192025,D_fast,Z,1404
MAO_04192025,ND_fast,Z,679
MHE_04032025,D_fast,Z,353
MHE_04032025,ND_fast,Z,790
MSN_04092025,D_fast,Z,453
MSN_04092025,ND_fast,Z,848
NMS_04112025,D_fast,Z,391
NMS_04112025,ND_fast,Z,533
OMY_04202025,D_fast,Z,491
OMY_04202025,ND_fast,Z,802
TCO_03272025,D_fast,Z,430
TCO_03272025,ND_fast,Z,687
YWG_03262025,D_fast,Z,407
YWG_03262025,ND_fast,Z,648
AMS_04142025,D_slow,C,230
AMS_04142025,ND_slow,C,1162
APM_04072025,D_slow,C,445
APM_04072025,ND_slow,C,2217
ARI_04162025,D_slow,C,568
ARI_04162025,ND_slow,C,1193
CJG_03242025,D_slow,C,572
CJG_03242025,ND_slow,C,2367
CKM_04162025,D_slow,C,391
CKM_04162025,ND_slow,C,514
CLE_03272025,D_slow,C,476
CLE_03272025,ND_slow,C,1860
EBZ_04182025,D_slow,C,568
EBZ_04182025,ND_slow,C,1066
ESU_04182025,D_slow,C,238
ESU_04182025,ND_slow,C,568
JBO_04172025,D_slow,C,364
JBO_04172025,ND_slow,C,786
JCN_04192025,D_slow,C,315
JCN_04192025,ND_slow,C,886
JMY_03312025,D_slow,C,376
JMY_03312025,ND_slow,C,514
JPK_04182025,D_slow,C,430
JPK_04182025,ND_slow,C,802
JWG_03272025,D_slow,C,1626
JWG_03272025,ND_slow,C,1465
JXI_04182025,D_slow,C,456
JXI_04182025,ND_slow,C,990
KCA_04072025,D_slow,C,407
KCA_04072025,ND_slow,C,529
KHT_04072025,D_slow,C,729
KHT_04072025,ND_slow,C,2290
KSN_04042025,D_slow,C,395
KSN_04042025,ND_slow,C,3518
MAO_04192025,D_slow,C,395
MAO_04192025,ND_slow,C,637
MHE_04032025,D_slow,C,671
MHE_04032025,ND_slow,C,1308
MSN_04092025,D_slow,C,395
MSN_04092025,ND_slow,C,618
NMS_04112025,D_slow,C,376
NMS_04112025,ND_slow,C,944
OMY_04202025,D_slow,C,491
OMY_04202025,ND_slow,C,1814
TCO_03272025,D_slow,C,1377
TCO_03272025,ND_slow,C,971
YWG_03262025,D_slow,C,307
YWG_03262025,ND_slow,C,422
AMS_04142025,D_slow,E,587
AMS_04142025,ND_slow,E,1730
APM_04072025,D_slow,E,1013
APM_04072025,ND_slow,E,1945
ARI_04162025,D_slow,E,1020
ARI_04162025,ND_slow,E,2114
CJG_03242025,D_slow,E,1427
CJG_03242025,ND_slow,E,3414
CKM_04162025,D_slow,E,871
CKM_04162025,ND_slow,E,1857
CLE_03272025,D_slow,E,909
CLE_03272025,ND_slow,E,2655
EBZ_04182025,D_slow,E,982
EBZ_04182025,ND_slow,E,1899
ESU_04182025,D_slow,E,798
ESU_04182025,ND_slow,E,1757
JBO_04172025,D_slow,E,1001
JBO_04172025,ND_slow,E,2114
JCN_04192025,D_slow,E,737
JCN_04192025,ND_slow,E,1561
JMY_03312025,D_slow,E,836
JMY_03312025,ND_slow,E,1389
JPK_04182025,D_slow,E,1093
JPK_04182025,ND_slow,E,2010
JWG_03272025,D_slow,E,1243
JWG_03272025,ND_slow,E,2048
JXI_04182025,D_slow,E,702
JXI_04182025,ND_slow,E,1343
KCA_04072025,D_slow,E,763
KCA_04072025,ND_slow,E,1531
KHT_04072025,D_slow,E,1531
KHT_04072025,ND_slow,E,3337
KSN_04042025,D_slow,E,1005
KSN_04042025,ND_slow,E,1845
MAO_04192025,D_slow,E,794
MAO_04192025,ND_slow,E,1270
MHE_04032025,D_slow,E,1320
MHE_04032025,ND_slow,E,2984
MSN_04092025,D_slow,E,844
MSN_04092025,ND_slow,E,1569
NMS_04112025,D_slow,E,1047
NMS_04112025,ND_slow,E,2267
OMY_04202025,D_slow,E,1013
OMY_04202025,ND_slow,E,2701
TCO_03272025,D_slow,E,1500
TCO_03272025,ND_slow,E,2490
YWG_03262025,D_slow,E,721
YWG_03262025,ND_slow,E,2908
AMS_04142025,D_slow,F,499
AMS_04142025,ND_slow,F,1554
APM_04072025,D_slow,F,737
APM_04072025,ND_slow,F,2351
ARI_04162025,D_slow,F,871
ARI_04162025,ND_slow,F,1768
CJG_03242025,D_slow,F,1086
CJG_03242025,ND_slow,F,3096
CKM_04162025,D_slow,F,771
CKM_04162025,ND_slow,F,1765
CLE_03272025,D_slow,F,671
CLE_03272025,ND_slow,F,1910
EBZ_04182025,D_slow,F,974
EBZ_04182025,ND_slow,F,1707
ESU_04182025,D_slow,F,652
ESU_04182025,ND_slow,F,1542
JBO_04172025,D_slow,F,641
JBO_04172025,ND_slow,F,1715
JCN_04192025,D_slow,F,541
JCN_04192025,ND_slow,F,1354
JMY_03312025,D_slow,F,587
JMY_03312025,ND_slow,F,1297
JPK_04182025,D_slow,F,767
JPK_04182025,ND_slow,F,1515
JWG_03272025,D_slow,F,1151
JWG_03272025,ND_slow,F,1791
JXI_04182025,D_slow,F,633
JXI_04182025,ND_slow,F,1412
KCA_04072025,D_slow,F,740
KCA_04072025,ND_slow,F,1442
KHT_04072025,D_slow,F,901
KHT_04072025,ND_slow,F,2305
KSN_04042025,D_slow,F,825
KSN_04042025,ND_slow,F,1527
MAO_04192025,D_slow,F,1032
MAO_04192025,ND_slow,F,1235
MHE_04032025,D_slow,F,1074
MHE_04032025,ND_slow,F,2206
MSN_04092025,D_slow,F,756
MSN_04092025,ND_slow,F,1281
NMS_04112025,D_slow,F,694
NMS_04112025,ND_slow,F,1577
OMY_04202025,D_slow,F,786
OMY_04202025,ND_slow,F,2225
TCO_03272025,D_slow,F,1320
TCO_03272025,ND_slow,F,2382
YWG_03262025,D_slow,F,529
AMS_04142025,D_slow,H,545
AMS_04142025,ND_slow,H,1818
APM_04072025,D_slow,H,760
APM_04072025,ND_slow,H,1753
ARI_04162025,D_slow,H,817
ARI_04162025,ND_slow,H,1458
CJG_03242025,D_slow,H,1047
CJG_03242025,ND_slow,H,2229
CKM_04162025,D_slow,H,671
CKM_04162025,ND_slow,H,1362
CLE_03272025,D_slow,H,598
CLE_03272025,ND_slow,H,2328
